rk,team_eng,team_3,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA,month,team,month_aft
27,New York Mets,nym,NL,24,818,112,188,35,5,24,109,97,221,11,6,0.23,0.318,0.373,0.691,9,13,6,8,305,64,20,222,221,1.0,3695,942,201806,뉴욕M,201807
28,Miami Marlins,mia,NL,25,835,84,190,32,1,19,76,72,231,8,3,0.228,0.295,0.337,0.632,4,10,4,4,281,52,18,254,186,1.37,3691,927,201806,마이애미,201807
29,Milwaukee Brewers,mil,NL,27,888,96,201,35,1,31,86,89,235,19,6,0.226,0.3,0.373,0.6729999999999999,5,7,6,6,331,67,20,267,217,1.23,3894,996,201806,밀워키,201807
30,Colorado Rockies,col,NL,27,876,103,193,36,5,27,98,95,243,16,7,0.22,0.301,0.365,0.6659999999999999,6,8,8,5,320,68,17,263,207,1.27,3883,992,201806,콜로라도,201807
1,Boston Red Sox,bos,AL,25,892,151,248,64,3,30,143,83,197,16,3,0.278,0.344,0.457,0.802,5,13,1,11,408,97,17,234,242,0.97,3861,1000,201807,보스턴,201808
2,Tampa Bay Rays,tb,AL,24,838,119,231,41,5,28,111,76,208,15,7,0.276,0.343,0.4370000000000001,0.779,1,13,3,7,366,74,22,223,208,1.07,3444,937,201807,탬파베이,201808
3,Oakland Athletics,oak,AL,25,862,130,228,50,5,33,125,86,224,6,2,0.265,0.339,0.449,0.7879999999999999,1,15,1,8,387,88,23,224,218,1.03,3906,972,201807,오클랜드,201808
4,Atlanta Braves,atl,NL,24,855,124,223,58,4,26,117,87,202,24,7,0.261,0.333,0.429,0.762,9,8,7,6,367,88,16,238,221,1.08,3613,963,201807,애틀랜타,201808
5,Los Angeles Dodgers,la,NL,25,904,128,233,58,7,25,122,97,220,7,7,0.258,0.335,0.42,0.7559999999999999,7,12,6,7,380,90,13,251,226,1.11,4155,1026,201807,LA다저스,201808
6,New York Yankees,nyy,AL,25,862,151,222,54,3,36,146,116,247,11,4,0.258,0.34600000000000003,0.452,0.7979999999999999,6,7,3,12,390,93,14,221,201,1.1,4143,1000,201807,뉴욕Y,201808
7,Chicago Cubs,chc,NL,23,778,114,200,41,10,20,105,71,183,5,5,0.257,0.334,0.413,0.747,7,20,9,2,321,71,11,206,211,0.98,3446,880,201807,시카고컵스,201808
8,Seattle Mariners,sea,AL,25,854,121,219,52,4,33,118,68,184,17,5,0.256,0.319,0.443,0.7609999999999999,4,13,5,6,378,89,15,243,234,1.04,3541,947,201807,시애틀M,201808
9,Houston Astros,hou,AL,27,901,135,231,45,2,28,130,106,234,11,5,0.256,0.337,0.404,0.741,0,11,2,14,364,75,17,219,252,0.87,4143,1035,201807,휴스턴,201808
10,Pittsburgh Pirates,pit,NL,28,943,129,240,47,6,28,123,96,206,11,6,0.255,0.326,0.406,0.732,12,9,4,11,383,81,16,257,271,0.95,4156,1063,201807,피츠버그,201808
11,Detroit Tigers,det,AL,26,890,114,222,54,9,23,111,71,196,14,5,0.249,0.311,0.408,0.718,6,12,0,9,363,86,14,248,247,1.0,3706,982,201807,디트로이트,201808
12,Kansas City Royals,kc,AL,26,890,85,220,42,2,21,78,79,193,8,7,0.247,0.317,0.37,0.687,2,14,2,4,329,65,24,242,265,0.91,3825,989,201807,캔자스시티,201808
13,San Francisco Giants,sf,NL,26,885,104,217,34,5,28,96,79,240,14,6,0.245,0.31,0.39,0.7,7,7,4,6,345,67,15,236,217,1.09,3842,981,201807,샌프란시스코,201808
14,Los Angeles Angels,ana,AL,25,861,115,209,27,4,34,109,75,196,13,1,0.243,0.31,0.402,0.711,3,11,1,6,346,65,21,234,250,0.94,3753,954,201807,LA에인절스,201808
15,Cincinnati Reds,cin,NL,27,917,110,221,45,2,19,105,105,222,12,2,0.241,0.326,0.35700000000000004,0.682,6,13,11,6,327,66,24,267,248,1.08,3957,1052,201807,신시내티,201808
16,Chicago White Sox,cws,AL,24,831,86,200,36,8,27,85,66,231,24,5,0.241,0.308,0.401,0.7090000000000001,0,17,3,4,333,71,26,251,182,1.38,3594,921,201807,시카고화이트삭스,201808
17,Minnesota Twins,min,AL,22,773,90,186,53,2,23,85,85,205,8,3,0.241,0.318,0.404,0.721,1,4,2,4,312,78,11,185,214,0.86,3550,868,201807,미네소타,201808
18,St. Louis Cardinals,stl,NL,25,851,120,204,41,0,30,115,100,216,13,8,0.24,0.324,0.394,0.718,4,12,8,11,335,71,16,243,223,1.09,3966,982,201807,세인트루이스,201808
